DATA,606/1042,606/1050,606/985
06/07/1991 00:00,6.16,4.11,
06/08/1991 00:00,,,
07/08/1991 00:00,4.61,16.81,
04/09/1991 00:00,,,
05/09/1991 00:00,4.45,16.31,
03/10/1991 00:00,,,
04/10/1991 00:00,17.61,15.13,
05/10/1991 00:00,4.6,,
06/11/1991 00:00,4.21,,
07/11/1991 00:00,17.41,16.01,
05/12/1991 00:00,17.26,15.93,
12/12/1991 00:00,6.01,19.11,
06/01/1992 00:00,16.86,17.31,
08/01/1992 00:00,,,
09/01/1992 00:00,20.71,19.21,
28/01/1992 00:00,28.91,20.71,
05/02/1992 00:00,16.27,16.51,
10/02/1992 00:00,,,
05/03/1992 00:00,23.61,,
09/03/1992 00:00,16.21,16.59,
10/03/1992 00:00,,24.15,
06/04/1992 00:00,,,
08/04/1992 00:00,28.64,22.25,
09/04/1992 00:00,16.21,18.24,
02/05/1992 00:00,29.01,22.91,
07/05/1992 00:00,,14.45,
08/05/1992 00:00,,,
03/06/1992 00:00,13.61,,
06/06/1992 00:00,,13.11,
02/07/1992 00:00,,11.88,
06/07/1992 00:00,,,
05/08/1992 00:00,11.51,11.31,
03/09/1992 00:00,,,
04/09/1992 00:00,11.11,11.01,
06/10/1992 00:00,9.61,9.31,
07/10/1992 00:00,,,
04/11/1992 00:00,,,
05/11/1992 00:00,10.01,10.31,
05/12/1992 00:00,,9.81,
07/12/1992 00:00,9.71,,
09/12/1992 00:00,,,
08/01/1993 00:00,13.21,16.47,
03/02/1993 00:00,13.46,15.11,
04/03/1993 00:00,13.8,14.39,
06/04/1993 00:00,13.32,14.83,
06/05/1993 00:00,,14.99,
07/05/1993 00:00,13.71,,
01/06/1993 00:00,12.03,,
07/06/1993 00:00,,14.91,
01/07/1993 00:00,12.14,,
06/07/1993 00:00,,11.61,
05/08/1993 00:00,,9.66,
09/09/1993 00:00,9.56,8.96,
05/10/1993 00:00,,9.46,
07/10/1993 00:00,9.34,,
08/11/1993 00:00,11.16,18.05,
07/12/1993 00:00,11.91,14.84,
05/01/1994 00:00,12.31,14.94,
07/02/1994 00:00,12.51,14.51,
03/03/1994 00:00,13.01,18.43,
